YCSB Client 0.1
Command line: -load -db com.yahoo.ycsb.db.MapKeeperClient -P workloads/workloada -p measurementtype=timeseries -p timeseries.granularity=2000 -s
 0 sec: 0 operations; 
 900 sec: 3686552 operations; 4149.37 current ops/sec;  
 910 sec: 3711965 operations; 2540.54 current ops/sec;  
 920 sec: 3748843 operations; 3686.69 current ops/sec;  
 930 sec: 3791706 operations; 4285.44 current ops/sec;  
 940 sec: 3834711 operations; 4299.21 current ops/sec;  
 950 sec: 3878115 operations; 4339.1 current ops/sec; [INSERT AverageLatency(ms)=14] 
 960 sec: 3919641 operations; 4151.77 current ops/sec; [INSERT AverageLatency(ms)=16.5] 
 970 sec: 3962642 operations; 4298.81 current ops/sec; [INSERT AverageLatency(ms)=7.67] 
 980 sec: 3986992 operations; 2434.27 current ops/sec;  
 990 sec: 4023102 operations; 3610.28 current ops/sec;  
 1000 sec: 4065559 operations; 4244.43 current ops/sec;  
 1010 sec: 4108977 operations; 4340.5 current ops/sec;  
 1020 sec: 4152539 operations; 4354.89 current ops/sec;  
 1030 sec: 4194896 operations; 4234.85 current ops/sec;  
 1040 sec: 4233254 operations; 3834.65 current ops/sec;  
 1050 sec: 4254523 operations; 2126.26 current ops/sec;  
 1060 sec: 4284322 operations; 2979.3 current ops/sec; [INSERT AverageLatency(ms)=33] 
 1070 sec: 4317994 operations; 3366.19 current ops/sec; [INSERT AverageLatency(ms)=50] 
 1080 sec: 4350809 operations; 3280.52 current ops/sec;  
 1090 sec: 4386548 operations; 3573.19 current ops/sec;  
 1100 sec: 4421517 operations; 3495.85 current ops/sec;  
 1110 sec: 4457293 operations; 3576.53 current ops/sec;  
 1120 sec: 4491941 operations; 3464.11 current ops/sec;  
 1130 sec: 4526568 operations; 3461.66 current ops/sec;  
 1140 sec: 4555069 operations; 2849.25 current ops/sec;  
 1150 sec: 4577585 operations; 2251.15 current ops/sec;  
 1160 sec: 4609883 operations; 3228.83 current ops/sec;  
 1170 sec: 4648337 operations; 3844.25 current ops/sec;  
 1180 sec: 4685523 operations; 3717.86 current ops/sec;  
 1190 sec: 4721824 operations; 3629.01 current ops/sec;  
 1200 sec: 4761032 operations; 3919.62 current ops/sec;  
 1210 sec: 4796830 operations; 3578.73 current ops/sec; [INSERT AverageLatency(ms)=25] 
 1220 sec: 4832007 operations; 3516.65 current ops/sec;  
 1230 sec: 4866440 operations; 3442.27 current ops/sec;  
 1240 sec: 4892166 operations; 2571.83 current ops/sec; [INSERT AverageLatency(ms)=50.6] 
 1250 sec: 4916071 operations; 2389.78 current ops/sec;  
 1260 sec: 4948944 operations; 3286.31 current ops/sec;  
 1270 sec: 4985023 operations; 3606.82 current ops/sec;  
 1280 sec: 5019627 operations; 3459.36 current ops/sec;  
 1290 sec: 5056513 operations; 3687.86 current ops/sec;  
 1300 sec: 5091185 operations; 3466.16 current ops/sec;  
 1310 sec: 5126028 operations; 3483.26 current ops/sec;  
 1320 sec: 5162306 operations; 3626.71 current ops/sec;  
 1330 sec: 5199537 operations; 3721.98 current ops/sec; [INSERT AverageLatency(ms)=25.25] 
 1340 sec: 5235873 operations; 3632.51 current ops/sec;  
 1350 sec: 5272240 operations; 3635.97 current ops/sec; [INSERT AverageLatency(ms)=22.67] 
 1360 sec: 5308960 operations; 3670.9 current ops/sec; [INSERT AverageLatency(ms)=18] 
 1370 sec: 5330383 operations; 2141.66 current ops/sec;  
 1380 sec: 5356672 operations; 2628.37 current ops/sec;  
 1390 sec: 5392156 operations; 3547.34 current ops/sec;  
 1400 sec: 5427030 operations; 3486.35 current ops/sec;  
 1410 sec: 5464081 operations; 3704.36 current ops/sec;  
 1420 sec: 5500674 operations; 3658.2 current ops/sec;  
 1430 sec: 5536824 operations; 3613.92 current ops/sec; [INSERT AverageLatency(ms)=8] 
 1440 sec: 5572375 operations; 3554.39 current ops/sec;  
 1450 sec: 5608340 operations; 3595.42 current ops/sec; [INSERT AverageLatency(ms)=6.5] 
