YCSB Client 0.1
Command line: -load -db com.yahoo.ycsb.db.MapKeeperClient -P workloads/workloada -p measurementtype=timeseries -p timeseries.granularity=2000 -s
 0 sec: 0 operations; 
 880 sec: 5424865 operations; 0 current ops/sec;  
 890 sec: 5424865 operations; 0 current ops/sec;  
 900 sec: 5424865 operations; 0 current ops/sec;  
 910 sec: 5424865 operations; 0 current ops/sec;  
 920 sec: 5434021 operations; 915.42 current ops/sec; [INSERT AverageLatency(ms)=7.75] 
 930 sec: 5500630 operations; 6658.9 current ops/sec;  
 940 sec: 5575131 operations; 7447.87 current ops/sec; [INSERT AverageLatency(ms)=193.67] 
 950 sec: 5654988 operations; 7984.1 current ops/sec; [INSERT AverageLatency(ms)=17] 
 960 sec: 5722392 operations; 6738.38 current ops/sec; [INSERT AverageLatency(ms)=9] 
 970 sec: 5810928 operations; 8850.94 current ops/sec; [INSERT AverageLatency(ms)=9] 
 980 sec: 5812342 operations; 141.37 current ops/sec;  
 990 sec: 5812342 operations; 0 current ops/sec;  
 1000 sec: 5812342 operations; 0 current ops/sec;  
 1010 sec: 5812342 operations; 0 current ops/sec;  
 1020 sec: 5812342 operations; 0 current ops/sec;  
 1030 sec: 5833400 operations; 2105.17 current ops/sec;  
 1040 sec: 5916289 operations; 8287.24 current ops/sec; [INSERT AverageLatency(ms)=10.5] 
 1050 sec: 5980801 operations; 6449.27 current ops/sec; [INSERT AverageLatency(ms)=6.5] 
 1060 sec: 6066216 operations; 8538.94 current ops/sec; [INSERT AverageLatency(ms)=8] 
 1070 sec: 6070660 operations; 444.31 current ops/sec;  
 1080 sec: 6070660 operations; 0 current ops/sec;  
 1090 sec: 6070660 operations; 0 current ops/sec;  
 1100 sec: 6070660 operations; 0 current ops/sec;  
 1110 sec: 6111527 operations; 4085.88 current ops/sec;  
 1120 sec: 6197157 operations; 8560.43 current ops/sec;  
 1130 sec: 6261307 operations; 6413.08 current ops/sec; [INSERT AverageLatency(ms)=32] 
 1140 sec: 6328978 operations; 6765.75 current ops/sec;  
 1150 sec: 6328978 operations; 0 current ops/sec;  
 1160 sec: 6328978 operations; 0 current ops/sec;  
 1170 sec: 6328978 operations; 0 current ops/sec;  
 1180 sec: 6328978 operations; 0 current ops/sec;  
 1190 sec: 6328978 operations; 0 current ops/sec;  
 1200 sec: 6380081 operations; 5109.28 current ops/sec;  
 1210 sec: 6458137 operations; 7803.26 current ops/sec;  
 1220 sec: 6527897 operations; 6973.91 current ops/sec; [INSERT AverageLatency(ms)=9.5] 
 1230 sec: 6602639 operations; 7471.96 current ops/sec; [INSERT AverageLatency(ms)=6.75] 
 1240 sec: 6675357 operations; 7269.62 current ops/sec;  
 1250 sec: 6716455 operations; 4108.57 current ops/sec;  
 1260 sec: 6716455 operations; 0 current ops/sec;  
 1270 sec: 6716455 operations; 0 current ops/sec;  
 1280 sec: 6716455 operations; 0 current ops/sec;  
 1290 sec: 6716455 operations; 0 current ops/sec;  
 1300 sec: 6716455 operations; 0 current ops/sec;  
 1310 sec: 6735520 operations; 1905.93 current ops/sec;  
 1320 sec: 6796108 operations; 6056.98 current ops/sec;  
 1330 sec: 6866080 operations; 6995.8 current ops/sec;  
 1340 sec: 6945845 operations; 7974.11 current ops/sec;  
 1350 sec: 7010582 operations; 6471.76 current ops/sec; [INSERT AverageLatency(ms)=6.5] 
 1360 sec: 7092510 operations; 8191.16 current ops/sec;  
 1370 sec: 7152951 operations; 6041.68 current ops/sec; [INSERT AverageLatency(ms)=30] 
 1380 sec: 7233091 operations; 8011.6 current ops/sec;  
 1390 sec: 7316806 operations; 8369.83 current ops/sec;  
 1400 sec: 7383750 operations; 6692.39 current ops/sec;  
 1410 sec: 7482400 operations; 9862.04 current ops/sec;  
 1420 sec: 7552880 operations; 7046.59 current ops/sec;  
 1430 sec: 7640090 operations; 8718.38 current ops/sec;  
 1440 sec: 7727105 operations; 8698.89 current ops/sec; [INSERT AverageLatency(ms)=7] 
 1450 sec: 7785895 operations; 5877.82 current ops/sec;  
 1460 sec: 7867859 operations; 8193.94 current ops/sec;  
 1470 sec: 7878886 operations; 1102.37 current ops/sec;  
 1480 sec: 7878886 operations; 0 current ops/sec;  
 1490 sec: 7878886 operations; 0 current ops/sec;  
 1500 sec: 7878886 operations; 0 current ops/sec;  
 1510 sec: 7878886 operations; 0 current ops/sec;  
 1520 sec: 7878886 operations; 0 current ops/sec;  
 1530 sec: 7878886 operations; 0 current ops/sec;  
 1540 sec: 7878886 operations; 0 current ops/sec;  
 1550 sec: 7878886 operations; 0 current ops/sec;  
 1560 sec: 7878886 operations; 0 current ops/sec;  
 1570 sec: 7878886 operations; 0 current ops/sec;  
 1580 sec: 7878886 operations; 0 current ops/sec;  
 1590 sec: 7878886 operations; 0 current ops/sec;  
 1600 sec: 7878886 operations; 0 current ops/sec;  
 1610 sec: 7878886 operations; 0 current ops/sec;  
 1620 sec: 7878886 operations; 0 current ops/sec;  
 1630 sec: 7923762 operations; 4486.25 current ops/sec; [INSERT AverageLatency(ms)=8.75] 
 1640 sec: 8005723 operations; 8194.46 current ops/sec;  
 1650 sec: 8064255 operations; 5851.44 current ops/sec;  
 1660 sec: 8137204 operations; 7292.71 current ops/sec;  
 1670 sec: 8137204 operations; 0 current ops/sec;  
 1680 sec: 8137204 operations; 0 current ops/sec;  
 1690 sec: 8137204 operations; 0 current ops/sec;  
 1700 sec: 8137204 operations; 0 current ops/sec;  
 1710 sec: 8152170 operations; 1496.3 current ops/sec; [INSERT AverageLatency(ms)=7] 
 1720 sec: 8206648 operations; 5446.17 current ops/sec; [INSERT AverageLatency(ms)=8] 
 1730 sec: 8276572 operations; 6991 current ops/sec; [INSERT AverageLatency(ms)=9] 
 1740 sec: 8346672 operations; 7007.9 current ops/sec; [INSERT AverageLatency(ms)=35.75] 
 1750 sec: 8415400 operations; 6870.74 current ops/sec;  
