========= C++ THREADED
01:32:07 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:11 AM   11   46.00    0.00   37.00    0.00    0.00    8.00    0.00    9.00      6.00
01:32:11 AM   12   48.00    0.00   36.00    0.00    0.00    7.00    0.00    9.00      0.00
01:32:11 AM   13   52.53    0.00   35.35    0.00    0.00    5.05    0.00    7.07      0.00
01:32:11 AM   14   58.42    0.00   29.70    0.00    0.00    4.95    0.00    6.93      0.00
01:32:11 AM   15   48.00    0.00   37.00    0.00    0.00    7.00    0.00    8.00      0.00

01:32:11 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:12 AM  all   45.01    0.00   46.07    0.00    0.00    8.43    0.00    0.50   1034.00
01:32:12 AM    0   53.00    0.00   26.00    0.00    0.00   20.00    0.00    1.00   1001.00
01:32:12 AM    1   45.10    0.00   47.06    0.00    0.00    6.86    0.00    0.98      1.00
01:32:12 AM    2   46.00    0.00   44.00    0.00    0.00    8.00    0.00    2.00     22.00
01:32:12 AM    3   45.45    0.00   47.47    0.00    0.00    7.07    0.00    0.00      0.00
01:32:12 AM    4   43.43    0.00   48.48    0.00    0.00    8.08    0.00    0.00      0.00
01:32:12 AM    5   41.00    0.00   52.00    0.00    0.00    6.00    0.00    1.00      0.00
01:32:12 AM    6   42.57    0.00   49.50    0.00    0.00    6.93    0.00    0.99      0.00
01:32:12 AM    7   44.00    0.00   47.00    0.00    0.00    8.00    0.00    1.00      0.00
01:32:12 AM    8   46.53    0.00   42.57    0.00    0.00   10.89    0.00    0.00      0.00
01:32:12 AM    9   43.00    0.00   49.00    0.00    0.00    7.00    0.00    1.00      0.00
01:32:12 AM   10   43.00    0.00   47.00    0.00    0.00    8.00    0.00    2.00      2.00
01:32:12 AM   11   47.00    0.00   45.00    0.00    0.00    7.00    0.00    1.00      8.00
01:32:12 AM   12   47.00    0.00   46.00    0.00    0.00    7.00    0.00    0.00      0.00
01:32:12 AM   13   45.00    0.00   48.00    0.00    0.00    7.00    0.00    0.00      0.00
01:32:12 AM   14   44.44    0.00   47.47    0.00    0.00    8.08    0.00    0.00      0.00
01:32:12 AM   15   41.58    0.00   50.50    0.00    0.00    6.93    0.00    0.99      0.00

01:32:12 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:13 AM  all   46.07    0.00   44.51    0.00    0.00    8.93    0.00    0.50   1028.28
01:32:13 AM    0   52.53    0.00   27.27    0.00    0.00   20.20    0.00    0.00   1011.11
01:32:13 AM    1   46.46    0.00   44.44    0.00    0.00    9.09    0.00    0.00      2.02
01:32:13 AM    2   46.46    0.00   46.46    0.00    0.00    7.07    0.00    0.00      1.01
01:32:13 AM    3   47.52    0.00   44.55    0.00    0.00    7.92    0.00    0.00      0.00
01:32:13 AM    4   44.55    0.00   45.54    0.00    0.00    8.91    0.00    0.99      0.00
01:32:13 AM    5   45.00    0.00   47.00    0.00    0.00    8.00    0.00    0.00      0.00
01:32:13 AM    6   45.45    0.00   45.45    0.00    0.00    9.09    0.00    0.00      0.00
01:32:13 AM    7   46.00    0.00   48.00    0.00    0.00    6.00    0.00    0.00      0.00
01:32:13 AM    8   48.00    0.00   41.00    0.00    0.00   10.00    0.00    1.00      0.00
01:32:13 AM    9   47.00    0.00   45.00    0.00    0.00    8.00    0.00    0.00      1.01
01:32:13 AM   10   46.00    0.00   47.00    0.00    0.00    7.00    0.00    0.00      2.02
01:32:13 AM   11   45.00    0.00   44.00    0.00    0.00   10.00    0.00    1.00     11.11
01:32:13 AM   12   44.55    0.00   45.54    0.00    0.00    8.91    0.00    0.99      0.00
01:32:13 AM   13   42.57    0.00   49.50    0.00    0.00    6.93    0.00    0.99      0.00
01:32:13 AM   14   43.00    0.00   48.00    0.00    0.00    9.00    0.00    0.00      0.00
01:32:13 AM   15   47.47    0.00   44.44    0.00    0.00    8.08    0.00    0.00      0.00

01:32:13 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:14 AM  all   45.50    0.00   45.56    0.00    0.00    8.50    0.00    0.44   1009.90
01:32:14 AM    0   54.46    0.00   28.71    0.00    0.00   16.83    0.00    0.00    991.09
01:32:14 AM    1   45.00    0.00   47.00    0.00    0.00    8.00    0.00    0.00      0.99
01:32:14 AM    2   45.54    0.00   47.52    0.00    0.00    6.93    0.00    0.00      5.94
01:32:14 AM    3   44.44    0.00   46.46    0.00    0.00    9.09    0.00    0.00      0.00
01:32:14 AM    4   46.00    0.00   47.00    0.00    0.00    7.00    0.00    0.00      0.00
01:32:14 AM    5   45.54    0.00   44.55    0.00    0.00    8.91    0.00    0.99      0.00
01:32:14 AM    6   47.00    0.00   45.00    0.00    0.00    7.00    0.00    1.00      0.00
01:32:14 AM    7   46.53    0.00   42.57    0.00    0.00    9.90    0.00    0.99      0.00
01:32:14 AM    8   47.00    0.00   44.00    0.00    0.00    9.00    0.00    0.00      0.00
01:32:14 AM    9   44.44    0.00   49.49    0.00    0.00    6.06    0.00    0.00      0.00
01:32:14 AM   10   46.00    0.00   46.00    0.00    0.00    8.00    0.00    0.00      1.98
01:32:14 AM   11   45.45    0.00   46.46    0.00    0.00    7.07    0.00    1.01      9.90
01:32:14 AM   12   43.43    0.00   49.49    0.00    0.00    7.07    0.00    0.00      0.00
01:32:14 AM   13   42.57    0.00   48.51    0.00    0.00    8.91    0.00    0.00      0.00
01:32:14 AM   14   41.58    0.00   47.52    0.00    0.00    9.90    0.00    0.99      0.00
01:32:14 AM   15   43.00    0.00   48.00    0.00    0.00    8.00    0.00    1.00      0.00

01:32:14 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:15 AM  all   45.72    0.00   46.10    0.00    0.00    7.87    0.00    0.31   1007.92
01:32:15 AM    0   52.48    0.00   26.73    0.00    0.00   19.80    0.00    0.99    991.09
01:32:15 AM    1   47.00    0.00   46.00    0.00    0.00    6.00    0.00    1.00      1.98
01:32:15 AM    2   46.00    0.00   46.00    0.00    0.00    8.00    0.00    0.00      1.98
01:32:15 AM    3   45.00    0.00   48.00    0.00    0.00    6.00    0.00    1.00      0.00
01:32:15 AM    4   48.00    0.00   45.00    0.00    0.00    6.00    0.00    1.00      1.98
01:32:15 AM    5   43.56    0.00   48.51    0.00    0.00    6.93    0.00    0.99      0.00
01:32:15 AM    6   45.45    0.00   46.46    0.00    0.00    8.08    0.00    0.00      0.00
01:32:15 AM    7   47.00    0.00   46.00    0.00    0.00    7.00    0.00    0.00      0.00
01:32:15 AM    8   49.00    0.00   41.00    0.00    0.00   10.00    0.00    0.00      0.00
01:32:15 AM    9   43.56    0.00   48.51    0.00    0.00    6.93    0.00    0.99      0.99
01:32:15 AM   10   44.00    0.00   49.00    0.00    0.00    6.00    0.00    1.00      1.98
01:32:15 AM   11   43.00    0.00   50.00    0.00    0.00    7.00    0.00    0.00      4.95
01:32:15 AM   12   46.00    0.00   48.00    0.00    0.00    6.00    0.00    0.00      0.00
01:32:15 AM   13   43.00    0.00   50.00    0.00    0.00    6.00    0.00    1.00      0.00
01:32:15 AM   14   45.92    0.00   47.96    0.00    0.00    6.12    0.00    0.00      0.00
01:32:15 AM   15   44.00    0.00   49.00    0.00    0.00    7.00    0.00    0.00      2.97

01:32:15 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:16 AM  all   45.38    0.00   45.19    0.00    0.00    8.61    0.00    0.81   1015.00
01:32:16 AM    0   51.00    0.00   29.00    0.00    0.00   19.00    0.00    1.00   1001.00
01:32:16 AM    1   46.00    0.00   45.00    0.00    0.00    8.00    0.00    1.00      0.00
01:32:16 AM    2   45.45    0.00   46.46    0.00    0.00    8.08    0.00    0.00      0.00
01:32:16 AM    3   47.00    0.00   44.00    0.00    0.00    8.00    0.00    1.00      0.00
01:32:16 AM    4   44.00    0.00   48.00    0.00    0.00    8.00    0.00    0.00      0.00
01:32:16 AM    5   46.00    0.00   46.00    0.00    0.00    7.00    0.00    1.00      0.00
01:32:16 AM    6   42.57    0.00   48.51    0.00    0.00    7.92    0.00    0.99      0.00
