YCSB Client 0.1
Command line: -load -db com.yahoo.ycsb.db.MapKeeperClient -P workloads/workloada -p measurementtype=timeseries -p timeseries.granularity=1000 -s
 0 sec: 0 operations; 
 89 sec: 3954342 operations; 45508.98 current ops/sec;  
 90 sec: 3997962 operations; 43532.93 current ops/sec;  
 91 sec: 4043721 operations; 45667.66 current ops/sec; [INSERT AverageLatency(ms)=7] 
 92 sec: 4087362 operations; 43553.89 current ops/sec;  
 93 sec: 4130016 operations; 42568.86 current ops/sec; [INSERT AverageLatency(ms)=5] 
 94 sec: 4174056 operations; 43952.1 current ops/sec;  
 95 sec: 4218756 operations; 44610.78 current ops/sec;  
 96 sec: 4262511 operations; 43667.66 current ops/sec;  
 97 sec: 4306911 operations; 44311.38 current ops/sec;  
 98 sec: 4351011 operations; 44011.98 current ops/sec;  
 99 sec: 4395623 operations; 44522.95 current ops/sec;  
 100 sec: 4441476 operations; 45761.48 current ops/sec; [INSERT AverageLatency(ms)=8] 
 101 sec: 4486669 operations; 45102.79 current ops/sec; [INSERT AverageLatency(ms)=8] 
 102 sec: 4529051 operations; 42297.41 current ops/sec; [INSERT AverageLatency(ms)=6] 
 103 sec: 4573632 operations; 44492.02 current ops/sec; [INSERT AverageLatency(ms)=8] 
 104 sec: 4617533 operations; 43813.37 current ops/sec;  
 105 sec: 4661938 operations; 44316.37 current ops/sec; [INSERT AverageLatency(ms)=5] 
 106 sec: 4705047 operations; 43022.95 current ops/sec; [INSERT AverageLatency(ms)=5] 
 107 sec: 4748821 operations; 43686.63 current ops/sec;  
 108 sec: 4791942 operations; 43034.93 current ops/sec;  
 109 sec: 4834542 operations; 42514.97 current ops/sec;  
 110 sec: 4878651 operations; 44020.96 current ops/sec; [INSERT AverageLatency(ms)=7.1] 
 111 sec: 4922841 operations; 44057.83 current ops/sec;  
 112 sec: 4965295 operations; 42369.26 current ops/sec; [INSERT AverageLatency(ms)=7] 
 113 sec: 5009530 operations; 44146.71 current ops/sec;  
 114 sec: 5054455 operations; 44835.33 current ops/sec; [INSERT AverageLatency(ms)=8] 
